match_id,match_no,stage,group,date,team_a,team_b,goals_a,goals_b,match,status,raw_rows,source_url,tried_queries
GI-18,,Group Stage,I,2026-06-16,Iraq,Norway,1,4,,ok,32,https://www.google.com/search?q=Iraq%20vs%20Norway%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs5b8cc;2;/m/030q7;ln;fp;1;;;;-1,Iraq vs Norway FIFA World Cup 2026
GJ-19,,Group Stage,J,2026-06-16,Argentina,Algeria,3,0,,ok,32,https://www.google.com/search?q=Argentina%20vs%20Algeria%20FIFA%20World%20Cup%202026#sie=m;/g/11yrzs0j6d;2;/m/030q7;ln;fp;1;;;;-1,Argentina vs Algeria FIFA World Cup 2026
GJ-20,,Group Stage,J,2026-06-17,Austria,Jordan,3,1,,ok,32,https://www.google.com/search?q=Austria%20vs%20Jordan%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2k3x8h;2;/m/030q7;ln;fp;1;;;;-1,Austria vs Jordan FIFA World Cup 2026
GK-21,,Group Stage,K,2026-06-17,Portugal,DR Congo,1,1,,ok,31,https://www.google.com/search?q=Portugal%20vs%20DR%20Congo%20FIFA%20World%20Cup%202026#sie=m;/g/11yrzr0xlp;2;/m/030q7;ln;fp;1;;;;-1,Portugal vs DR Congo FIFA World Cup 2026
GK-22,,Group Stage,K,2026-06-17,Colombia,Uzbekistan,3,1,,ok,32,https://www.google.com/search?q=Colombia%20vs%20Uzbekistan%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3jn67;2;/m/030q7;ln;fp;1;;;;-1,Colombia vs Uzbekistan FIFA World Cup 2026
GK-23,,Group Stage,K,2026-06-23,Portugal,Uzbekistan,5,0,,ok,32,https://www.google.com/search?q=Portugal%20vs%20Uzbekistan%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2jy5vx;2;/m/030q7;ln;fp;1;;;;-1,Portugal vs Uzbekistan FIFA World Cup 2026
GK-24,,Group Stage,K,2026-06-23,Colombia,DR Congo,1,0,,ok,30,https://www.google.com/search?q=Colombia%20vs%20DR%20Congo%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2kfldx;2;/m/030q7;ln;fp;1;;;;-1,Colombia vs DR Congo FIFA World Cup 2026
GL-25,,Group Stage,L,2026-06-17,England,Croatia,4,2,,no_more_about,0,https://www.google.com/search?q=England%20Croatia%20World%20Cup%202026%20lineups%20ratings,England vs Croatia FIFA World Cup 2026 | Croatia vs England FIFA World Cup 2026 | England Croatia FIFA World Cup 2026 full time | England Croatia World Cup 2026 lineups ratings
GL-26,,Group Stage,L,2026-06-17,Ghana,Panama,1,0,,ok,31,https://www.google.com/search?q=Ghana%20vs%20Panama%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_372fs;2;/m/030q7;ln;fp;1;;;;-1,Ghana vs Panama FIFA World Cup 2026
GL-27,,Group Stage,L,2026-06-23,England,Ghana,0,0,,ok,31,https://www.google.com/search?q=England%20vs%20Ghana%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs4n97k;2;/m/030q7;ln;fp;1;;;;-1,England vs Ghana FIFA World Cup 2026
GL-28,,Group Stage,L,2026-06-23,Panama,Croatia,0,1,,ok,31,https://www.google.com/search?q=Panama%20vs%20Croatia%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs58ngw;2;/m/030q7;ln;fp;1;;;;-1,Panama vs Croatia FIFA World Cup 2026
GA-29,,Group Stage,A,2026-06-18,Czechia,South Africa,1,1,,ok,29,https://www.google.com/search?q=Czechia%20vs%20South%20Africa%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs574p8;2;/m/030q7;ln;fp;1;;;;-1,Czechia vs South Africa FIFA World Cup 2026
GA-30,,Group Stage,A,2026-06-18,Mexico,Korea Republic,1,0,,ok,32,https://www.google.com/search?q=Mexico%20vs%20South%20Korea%20FIFA%20World%20Cup%202026#sie=m;/g/11ms2jpv9s;2;/m/030q7;ln;fp;1;;;;-1,Mexico vs South Korea FIFA World Cup 2026
GB-31,,Group Stage,B,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,,no_more_about,0,https://www.google.com/search?q=Switzerland%20Bosnia%20and%20Herzegovina%20World%20Cup%202026%20lineups%20ratings,Switzerland vs Bosnia Herzegovina FIFA World Cup 2026 | Bosnia Herzegovina vs Switzerland FIFA World Cup 2026 | Switzerland Bosnia Herzegovina FIFA World Cup 2026 full time | Switzerland Bosnia Herzegovina World Cup 2026 lineups ratings | Switzerland vs Bosnia and Herzegovina FIFA World Cup 2026 | Bosnia and Herzegovina vs Switzerland FIFA World Cup 2026 | Switzerland Bosnia and Herzegovina FIFA World Cup 2026 full time | Switzerland Bosnia and Herzegovina World Cup 2026 lineups ratings
GB-32,,Group Stage,B,2026-06-18,Canada,Qatar,6,0,,no_more_about,0,https://www.google.com/search?q=Canada%20Qatar%20World%20Cup%202026%20lineups%20ratings,Canada vs Qatar FIFA World Cup 2026 | Qatar vs Canada FIFA World Cup 2026 | Canada Qatar FIFA World Cup 2026 full time | Canada Qatar World Cup 2026 lineups ratings
GC-33,,Group Stage,C,2026-06-19,Morocco,Scotland,1,0,,ok,31,https://www.google.com/search?q=Morocco%20vs%20Scotland%20FIFA%20World%20Cup%202026#sie=m;/g/11yr_3zwc3;2;/m/030q7;ln;fp;1;;;;-1,Morocco vs Scotland FIFA World Cup 2026
GC-34,,Group Stage,C,2026-06-19,Brazil,Haiti,3,0,,ok,32,https://www.google.com/search?q=Brazil%20vs%20Haiti%20FIFA%20World%20Cup%202026#sie=m;/g/11yrzrr99g;2;/m/030q7;ln;fp;1;;;;-1,Brazil vs Haiti FIFA World Cup 2026
GD-35,,Group Stage,D,2026-06-19,USA,Australia,2,0,,ok,32,https://www.google.com/search?q=United%20States%20vs%20Australia%20FIFA%20World%20Cup%202026#sie=m;/g/11yqs4wg2n;2;/m/030q7;ln;fp;1;;;;-1,United States vs Australia FIFA World Cup 2026
