match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
GF-58,,Group Stage,2026-06-25,Japan,Sweden,1,1,Japan 1-1 Sweden,matched,15186972,NTbsvVb,japan-sweden,Japan - Sweden,2026-06-25,1-1,same,513.2342,Japan Sweden,Japan Sweden | Sweden Japan | Japan Sweden World Championship,
GD-59,,Group Stage,2026-06-25,Turkiye,USA,3,2,Turkiye 3-2 USA,matched,15186887,aUbszUb,usa-turkiye,Türkiye - USA,2026-06-26,3-2,same,538.1177,Turkiye USA,Turkiye USA | USA Turkiye | Turkiye United States | United States Turkiye | Turkiye United States of America | United States of America Turkiye | Türkiye USA | USA Türkiye | Türkiye United States | United States Türkiye | Türkiye United States of America | United States of America Türkiye | Turkey USA | USA Turkey | Turkey United States | United States Turkey | Turkey United States of America | United States of America Turkey | Türkiye USA World Championship,
GD-60,,Group Stage,2026-06-25,Paraguay,Australia,0,0,Paraguay 0-0 Australia,matched,15186891,QUbsOVb,paraguay-australia,Paraguay - Australia,2026-06-26,0-0,same,518.1285,Paraguay Australia,Paraguay Australia | Australia Paraguay | Paraguay Australia World Championship,
GI-61,,Group Stage,2026-06-26,France,Norway,4,1,France 4-1 Norway,matched,15186537,AObsGOb,france-norway,Norway - France,2026-06-26,1-4,reversed,567.6172,Norway France,France Norway | Norway France | France Norway World Championship,
GI-62,,Group Stage,2026-06-26,Senegal,Iraq,5,0,Senegal 5-0 Iraq,matched,15186771,OUbsrVb,iraq-senegal,Senegal - Iraq,2026-06-26,5-0,same,529.9374,Senegal Iraq,Senegal Iraq | Iraq Senegal | Senegal Iraq World Championship,
GH-63,,Group Stage,2026-06-26,Cabo Verde,Saudi Arabia,0,0,Cabo Verde 0-0 Saudi Arabia,matched,15186803,dVbsJWb,saudi-arabia-cabo-verde,Cabo Verde - Saudi Arabia,2026-06-27,0-0,same,527.2014,Cabo Verde Saudi Arabia,Cabo Verde Saudi Arabia | Saudi Arabia Cabo Verde | Cape Verde Saudi Arabia | Saudi Arabia Cape Verde | Cape Verde Saudi Arabia World Championship,
GH-64,,Group Stage,2026-06-26,Spain,Uruguay,1,0,Spain 1-0 Uruguay,matched,15186841,YTbsAUb,uruguay-spain,Uruguay - Spain,2026-06-27,0-1,reversed,594.5463,Uruguay Spain,Spain Uruguay | Uruguay Spain | Spain Uruguay World Championship,
GG-65,,Group Stage,2026-06-26,Belgium,New Zealand,5,1,Belgium 5-1 New Zealand,matched,15186822,rUbsJVb,new-zealand-belgium,New Zealand - Belgium,2026-06-27,1-5,reversed,532.4435,New Zealand Belgium,Belgium New Zealand | New Zealand Belgium | Belgium New Zealand World Championship,
GG-66,,Group Stage,2026-06-26,Egypt,Iran,1,1,Egypt 1-1 Iran,matched,15186828,iVbsqVb,iran-egypt,Egypt - Iran,2026-06-27,1-1,same,544.5104,Egypt Iran,Egypt Iran | Iran Egypt | Egypt Iran World Championship,
GJ-67,,Group Stage,2026-06-27,Algeria,Austria,3,3,Algeria 3-3 Austria,matched,15186747,QTbstUb,austria-algeria,Algeria - Austria,2026-06-28,3-3,same,536.0084,Algeria Austria,Algeria Austria | Austria Algeria | Algeria Austria World Championship,
