match_id,match_no,event_id,stage,date,team_a,team_b,period,group,stat_key,stat_name,home_value,away_value
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Attack,accurateThroughBall,Through balls,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Attack,fouledFinalThird,Fouled in final third,2,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Attack,offsides,Offsides,1,0
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Passes,accuratePasses,Accurate passes,230,108
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Passes,throwIns,Throw-ins,11,7
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Passes,finalThirdEntries,Final third entries,26,21
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Passes,accurateLongBalls,Long balls,10/19 (53%),8/22 (36%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Passes,accurateCross,Crosses,2/6 (33%),0/2 (0%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Duels,duelWonPercent,Duels,48%,52%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Duels,dispossessed,Dispossessed,5,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Duels,groundDuelsPercentage,Ground duels,16/33 (48%),17/33 (52%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Duels,aerialDuelsPercentage,Aerial duels,3/7 (43%),4/7 (57%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Duels,dribblesPercentage,Dribbles,7/12 (58%),0/2 (0%)
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Defending,wonTacklePercent,Tackles won,50%,50%
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Defending,totalTackle,Total tackles,4,10
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Defending,interceptionWon,Interceptions,6,2
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Defending,ballRecovery,Recoveries,22,22
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Defending,totalClearance,Clearances,4,6
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Goalkeeping,goalkeeperSaves,Total saves,1,1
GA-01,,15186710,Group Stage,2026-06-11,Mexico,South Africa,2ND,Goalkeeping,goalKicks,Goal kicks,2,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,ballPossession,Ball possession,62%,38%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,kilometersCovered,Distance covered,104.2 km,108.3 km
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,expectedGoals,Expected goals,2.30,0.83
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,bigChanceCreated,Big chances,4,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,totalShotsOnGoal,Total shots,15,7
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,goalkeeperSaves,Goalkeeper saves,3,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,numberOfSprints,Number of sprints,123,101
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,cornerKicks,Corner kicks,4,5
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,fouls,Fouls,9,16
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,passes,Passes,541,327
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,totalTackle,Tackles,7,9
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,freeKicks,Free kicks,16,9
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Match overview,yellowCards,Yellow cards,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,totalShotsOnGoal,Total shots,15,7
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,shotsOnGoal,Shots on target,6,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,hitWoodwork,Hit woodwork,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,shotsOffGoal,Shots off target,5,3
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,blockedScoringAttempt,Blocked shots,4,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,totalShotsInsideBox,Shots inside box,10,5
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Shots,totalShotsOutsideBox,Shots outside box,5,2
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,bigChanceScored,Big chances scored,2,1
